date,ticker,simfinid_x,open,high,low,close,adj._close,volume,dividend,shares_outstanding,simfinid_y,company_name,industryid,isin,end_of_financial_year_(month),market,main_currency,ma_5,ma_20,volatility_10,price_movement
2019-04-15,AMZN,62747,92.1,92.34,90.94,92.24,92.24,74488460,0.0,9840000000.0,62747,AMAZON COM INC,103002.0,US0231351067,12.0,us,USD,92.24,92.24,126.77061760869121,0
2019-04-15,TGGI,13511458,0.0,0.0,0.0,0.0,0.0,44421756,0.0,48963000.0,13511458,"Trans Global Group, Inc.",104002.0,Unknown,12.0,us,USD,46.12,46.12,65.22352949664715,1
2019-04-15,SPY,1072401,290.24,290.35,289.08,289.97,264.84,49596685,0.0,48963000.0,1072401,SPDR S&P 500 ETF TRUST,Unknown Industry,Unknown,12.0,us,USD,119.02666666666666,119.02666666666666,134.43660414237385,0
2019-04-15,TSLA,56317,17.91,17.93,17.24,17.76,17.76,150578685,0.0,2605230000.0,56317,Tesla,103005.0,US88160R1014,12.0,us,USD,93.71,93.71,120.88231797909899,1
2019-04-15,AAPL,111052,49.65,49.96,49.5,49.81,47.72,70146584,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,84.512,84.512,106.68841136693338,0
2019-04-15,HCMC,15585628,0.0,0.0,0.0,0.0,0.0,1980000,0.0,48963000.0,15585628,Healthier Choices Management Corp.,102001.0,US42226N1090,12.0,us,USD,66.064,70.42666666666666,101.47075138514874,1
2019-04-15,NVDA,172199,4.74,4.75,4.58,4.62,4.58,440093800,0.0,24240000000.0,172199,NVIDIA CORP,101004.0,US67066G1040,1.0,us,USD,66.97999999999999,61.019999999999996,95.9148518218112,0
2019-04-15,PHIL,15071408,0.0,0.0,0.0,0.0,0.0,100947799,0.0,48963000.0,15071408,Philux Global Group Inc.,104003.0,US69338D2080,12.0,us,USD,14.012,53.3925,91.38299556575843,0
2019-04-15,SANP,660201,0.0,0.0,0.0,0.0,0.0,16984759,0.0,422346953.0,660201,SANTO MINING CORP.,101003.0,Unknown,7.0,us,USD,10.459999999999999,47.46,87.3140675950903,1
2019-04-16,AAPL,111052,49.87,50.34,49.64,49.81,47.73,102785540,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,10.462,47.487,82.32053666410748,1
2019-04-16,AMZN,62747,92.57,93.49,92.4,93.15,93.15,60892360,0.0,9840000000.0,62747,AMAZON COM INC,103002.0,US0231351067,12.0,us,USD,29.092000000000002,51.63818181818181,82.3759893280668,0
2019-04-16,NVDA,172199,4.66,4.72,4.62,4.71,4.67,394963640,0.0,24240000000.0,172199,NVIDIA CORP,101004.0,US67066G1040,1.0,us,USD,29.109999999999996,47.72416666666666,82.0890316465401,0
2019-04-16,HCMC,15585628,0.0,0.0,0.0,0.0,0.0,10680000,0.0,48963000.0,15585628,Healthier Choices Management Corp.,102001.0,US42226N1090,12.0,us,USD,29.109999999999996,44.053076923076915,31.520204261182446,1
2019-04-16,TSLA,56317,17.72,18.33,17.65,18.22,18.22,109093950,0.0,2605230000.0,56317,Tesla,103005.0,US88160R1014,12.0,us,USD,32.754,42.207857142857144,31.51437592591669,0
2019-04-16,PHIL,15071408,0.0,0.0,0.0,0.0,0.0,46418528,0.0,48963000.0,15071408,Philux Global Group Inc.,104003.0,US69338D2080,12.0,us,USD,23.208000000000002,39.394,30.723962508475687,1
2019-04-16,SPY,1072401,290.95,291.01,289.5,290.16,265.01,52153197,0.0,48963000.0,1072401,SPDR S&P 500 ETF TRUST,Unknown Industry,Unknown,12.0,us,USD,57.58,53.495,83.51981816710727,0
2019-04-16,TGGI,13511458,0.0,0.0,0.0,0.0,0.0,7430999,0.0,48963000.0,13511458,"Trans Global Group, Inc.",104002.0,Unknown,12.0,us,USD,56.645999999999994,50.34823529411764,83.76814825589867,0
2019-04-16,SANP,660201,0.0,0.0,0.0,0.0,0.0,1900000,0.0,422346953.0,660201,SANTO MINING CORP.,101003.0,Unknown,7.0,us,USD,56.645999999999994,47.55111111111111,83.76814825589867,1
2019-04-17,AMZN,62747,93.65,93.82,93.02,93.24,93.24,57870340,0.0,9846635520.0,62747,AMAZON COM INC,103002.0,US0231351067,12.0,us,USD,71.65,49.955789473684206,83.65429016029137,0
2019-04-17,HCMC,15585628,0.0,0.0,0.0,0.0,0.0,1100000,0.0,48963000.0,15585628,Healthier Choices Management Corp.,102001.0,US42226N1090,12.0,us,USD,71.65,47.458,85.28357734966066,1
2019-04-17,NVDA,172199,4.74,4.76,4.66,4.68,4.65,351002720,0.0,24240000000.0,172199,NVIDIA CORP,101004.0,US67066G1040,1.0,us,USD,19.578,43.0785,84.601027764968,1
2019-04-17,AAPL,111052,49.88,50.84,49.65,50.78,48.66,115627120,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,29.309999999999995,45.5115,83.7816602578127,0
2019-04-17,TGGI,13511458,0.0,0.0,0.0,0.0,0.0,1610000,0.0,48963000.0,13511458,"Trans Global Group, Inc.",104002.0,Unknown,12.0,us,USD,29.309999999999995,32.269499999999994,83.7816602578127,0
2019-04-17,SANP,660201,0.0,0.0,0.0,0.0,0.0,2590999,0.0,422346953.0,660201,SANTO MINING CORP.,101003.0,Unknown,7.0,us,USD,10.661999999999999,31.381499999999996,84.57426219995457,1
2019-04-17,TSLA,56317,18.32,18.32,17.9,18.08,18.08,76897020,0.0,2605230000.0,56317,Tesla,103005.0,US88160R1014,12.0,us,USD,14.277999999999997,29.8995,83.78626859124616,1
2019-04-17,SPY,1072401,291.4,291.43,288.99,289.45,264.37,58268295,0.0,48963000.0,1072401,SPDR S&P 500 ETF TRUST,Unknown Industry,Unknown,12.0,us,USD,66.22200000000001,43.118,83.59784619766761,0
2019-04-17,PHIL,15071408,0.0,0.0,0.0,0.0,0.0,35091500,0.0,48963000.0,15071408,Philux Global Group Inc.,104003.0,US69338D2080,12.0,us,USD,56.49000000000001,42.888999999999996,83.59784619766761,1
2019-04-18,AMZN,62747,93.44,93.54,92.97,93.08,93.08,54997640,0.0,9846635520.0,62747,AMAZON COM INC,103002.0,US0231351067,12.0,us,USD,75.10600000000001,47.543,83.47230595965479,0
2019-04-18,PHIL,15071408,0.0,0.0,0.0,0.0,0.0,14941000,0.0,48963000.0,15071408,Philux Global Group Inc.,104003.0,US69338D2080,12.0,us,USD,75.10600000000001,47.543,83.58715560552483,0
2019-04-18,SANP,660201,0.0,0.0,0.0,0.0,0.0,2999999,0.0,422346953.0,660201,SANTO MINING CORP.,101003.0,Unknown,7.0,us,USD,71.49,45.1565,83.58715560552483,0
2019-04-18,TGGI,13511458,0.0,0.0,0.0,0.0,0.0,827600,0.0,48963000.0,13511458,"Trans Global Group, Inc.",104002.0,Unknown,12.0,us,USD,18.616,40.499,83.83605011502443,1
2019-04-18,SPY,1072401,290.1,290.32,288.66,290.02,264.89,68708513,0.0,48963000.0,1072401,SPDR S&P 500 ETF TRUST,Unknown Industry,Unknown,12.0,us,USD,71.594,53.510000000000005,109.56236385426034,0
