Date,Dividend Paid,Common Shares Outstanding,Last Closing Price,Adjusted Closing Price,Highest Price,Lowest Price,Opening Price,Trading Volume,ticker
2023-01-03,,15892723000,125.07,123.64,130.9,124.17,130.28,112117471,AAPL
2023-01-04,,15892723000,126.36,124.91,128.66,125.08,126.89,89113633,AAPL
2023-01-05,,15892723000,125.02,123.59,127.77,124.76,127.13,80962708,AAPL
2023-01-06,,15892723000,129.62,128.13,130.29,124.89,126.01,87754715,AAPL
2023-01-09,,15892723000,130.15,128.66,133.41,129.89,130.47,70790813,AAPL
2023-01-10,,15892723000,130.73,129.23,131.26,128.12,130.26,63896155,AAPL
2023-01-11,,15892723000,133.49,131.96,133.51,130.46,131.25,69458949,AAPL
2023-01-12,,15892723000,133.41,131.88,134.26,131.44,133.88,71379648,AAPL
2023-01-13,,15892723000,134.76,133.22,134.92,131.66,132.03,57809719,AAPL
2023-01-17,,15892723000,135.94,134.38,137.29,134.13,134.83,63646627,AAPL
2023-01-18,,15892723000,135.21,133.66,138.61,135.03,136.81,69672800,AAPL
2023-01-19,,15892723000,135.27,133.72,136.25,133.77,134.08,58280413,AAPL
2023-01-20,,15892723000,137.87,136.29,138.02,134.22,135.28,80223626,AAPL
2023-01-23,,15892723000,141.11,139.49,143.31,137.9,138.12,81760313,AAPL
2023-01-24,,15892723000,142.53,140.9,143.16,140.3,140.31,66435142,AAPL
2023-01-25,,15892723000,141.86,140.23,142.43,138.81,140.89,65799349,AAPL
2023-01-26,,15892723000,143.96,142.31,144.25,141.9,143.17,54105068,AAPL
2023-01-27,,15892723000,145.93,144.26,147.23,143.08,143.16,70555843,AAPL
2023-01-30,,15892723000,143.0,141.36,145.55,142.85,144.96,64015274,AAPL
2023-01-31,,15892723000,144.29,142.64,144.34,142.28,142.7,65874459,AAPL
2023-02-01,,15892723000,145.43,143.76,146.61,141.32,143.97,77663633,AAPL
2023-02-02,,15892723000,150.82,149.09,151.18,148.17,148.9,118338980,AAPL
2023-02-03,,15892723000,154.5,152.73,157.38,147.83,148.03,154357337,AAPL
2023-02-06,,15892723000,151.73,149.99,153.1,150.78,152.57,69858306,AAPL
2023-02-07,,15892723000,154.65,152.88,155.23,150.64,150.64,83322551,AAPL
2023-02-08,,15892723000,151.92,150.18,154.58,151.17,153.88,64120079,AAPL
2023-02-09,,15892723000,150.87,149.14,154.33,150.42,153.78,56007143,AAPL
2023-02-10,0.23,15892723000,151.01,149.51,151.34,149.22,149.46,57450708,AAPL
2023-02-13,,15892723000,153.85,152.32,154.26,150.92,150.95,62199013,AAPL
2023-02-14,,15892723000,153.2,151.67,153.77,150.86,152.12,61707573,AAPL
2023-02-15,,15892723000,155.33,153.78,155.5,152.88,153.11,65669252,AAPL
2023-02-16,,15892723000,153.71,152.18,156.33,153.35,153.51,68167942,AAPL
2023-02-17,,15892723000,152.55,151.03,153.0,150.85,152.35,59144118,AAPL
2023-02-21,,15892723000,148.48,147.0,151.3,148.41,150.2,58867230,AAPL
2023-02-22,,15892723000,148.91,147.43,149.95,147.16,148.87,51011305,AAPL
2023-02-23,,15892723000,149.4,147.91,150.34,147.24,150.09,48394249,AAPL
2023-02-24,,15892723000,146.71,145.25,147.19,145.72,147.11,55469606,AAPL
